fr,en,tr,de,es,title,speaker,duration,tags
"
											Ce que je vous ai présenté ici, j'ai développé un grand nombre de ces figures
											et j'ai conçu la chorégraphie,
											mais ce ne sont pas des techniques originales.
											Maintenant, je vais commencer à vous montrer des techniques originales
											qui viennent du travail que j'ai effectué. OK ?
											Donc, un moment, comment définir un moment ?
											Eh bien, en tant que jongleur ce que je voulais faire c'était de créer quelque chose
											qui soit la représentation d'un moment.
									","
											What I've done for you here, I developed a lot of those tricks
											and I put the choreography together,
											but they're not original techniques.
											Now, I'm going to start showing you some original techniques
											that come from the work that I've developed. OK?
											So, a moment, how would you define a moment?
											Well, as a juggler, what I wanted to do was create something
											that was representational of a moment.
									","
											Burada sizin için yaptığım şey, bu numaralardan çokça geliştirdim
											ve koreografiyi bir araya getirdim,
											ancak bunlar orijinal teknikler değil.
											Şimdi, size orijinal tekniklerden bazılarını göstereceğim.
											Bunlar kendi geliştirdiğim çalışmalardan geliyor. Tamam?
											Evet, bir an. Bir anı nasıl tanımlarsınız?
											Bir jonglör olarak yapmak istediğim şey
											bir anı temsil edici birşeyler yaratmaktı.
									","
											Was ich hier für Sie gemacht habe, sind viele solcher Tricks
											und ich habe die Choreographie zusammengestellt.
											aber ich habe die Techniken nicht erfunden.
											Jetzt, fange ich an, Ihnen einige der von mir erfundenen Techniken zu zeigen.
											die aus der Arbeit stammen, die ich entwickelt habe. OK`?
											Also, ein Moment. Wie würden Sie einen Moment definieren?
											Na ja, als Jongleur wollte ich etwas kreieren,
											das den Moment repräsentiert.
									","
											Lo que presenté aquí para Uds. fue una serie de trucos
											a los que he agregado coreografía.
											Pero no son técnicas originales.
											Ahora voy a comenzar a mostrarles unas técnicas originales
											del trabajo que he preparado. ¿Bien?
											Entonces, un momento, ¿cómo definirían un momento?
											Bueno, como malabarista quería crear algo
											que fuese representativo de un momento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Aaargghhh.
											Bon, je vais me mettre à genoux pour le faire.
											Donc, un moment.
									","
											Ahhh.
											All right, I'm going to get on my knees and do it.
											So, a moment.
									","
											Ahhh.
											Evet, dizlerimin üzerinde yaparım.
											Evet, bir an.
									","
											Aaachhhh.
											Also gut, ich werde hinknien und es machen.
											Also, einen Moment.
									","
											¡Aaagggjjj!
											Bien, voy a arrodillarme y hacerlo.
											Entonces, un momento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Cliquetis)
									","
											(Rattling)
									","
											(Şıkırtı)
									","
											(Gerassel)
									","
											(Sonido de grava)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											OK ? Et puis ce que j'ai fait en tant que jongleur, c'est de dire
											OK, que puis-je faire pour rendre cet objet
											dépendant d'autre chose, une autre dynamique.
									","
											OK? And then, what I did as a juggler was say,
											OK, what can I do to make that something
											that is dependent on something else, another dynamic.
									","
											Tamam? Bir jonglör olarak yaptığım şey,
											Bu birşeyi yapmak için ne yapabilirim
											- ki bu şey başka birşeye, bir başka dinamiğe bağımlı -
									","
											OK? Und dann was ich als Jongleur machte war,
											OK, was kann ich tun, um das eine,
											das von etwas anderem abhängig ist, in einer anderen Dynamik zu bringen.
									","
											¿Bien? Y entonces como malabarista me dije:
											Bien, ¿Cómo puedo crear una cosa...
											que dependa de otra cosa, de otra dinámica?
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Cliquetis)
									","
											(Rattling)
									","
											(Şıkırtı)
									","
											(Gerassel)
									","
											(Sonido de grava)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc, un moment.
									","
											So, a moment.
									","
											evet, bir an.
									","
											Ein Moment, also.
									","
											Entonces, un momento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Cliquetis)
									","
											(Rattling)
									","
											(Şıkırtı)
									","
											(Rasseln)
									","
											(Sonido de grava)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Un autre moment.
									","
											Another moment.
									","
											Bir başka an.
									","
											Ein weiterer Moment
									","
											Otro momento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Cliquetis)
									","
											(Rattling)
									","
											(Şıkırtı)
									","
											(Rasseln)
									","
											(Sonido de grava)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Excusez-moi, on va y arriver. Un moment qui se déplace.
									","
											Excuse me, still getting there. A moment that travels.
									","
											Özür dilerim, şimdi olacak. Yer değiştiren bir an.
									","
											Entschuldigen Sie, ich bin noch nicht fertig. Ein Moment der wandert.
									","
											Discúlpenme. Un momento que viaja.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Cliquetis)
									","
											(Rattling)
									","
											(Şıkırtı)
									","
											(Rasseln)
									","
											(Sonido de grava)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Un moment - non, essayons encore - qui sépare, et qui réunit.
											Le temps. Comment comprendre le temps ?
											Et à quoi le consacrez-vous quand vous explorez une chose en particulier ?
											Eh bien, évidemment il y a quelque chose là-dedans,
											et vous pouvez tous essayer de deviner ce que c'est.
											C'est un mystère. Il y a un mystère dans le moment.
											Et il faut qu'il s'installe. Et ensuite il devient dépendant de quelque chose d'autre.
											Pouf - et ça se calme. Juste un petit tour à propos du temps.
									","
											A moment — no, we'll try that again. It separates, and comes back together.
											Time. How can you look at time?
											And what do you dedicate it to, in exploring a particular thing?
											Well, obviously, there's something in here,
											and you can all have a guess as to what it is.
											There's a mystery. There's a mystery in the moment.
											And it has to settle. And then it's dependent on something else.
											And then it comes to rest. Just a little thing about time.
									","
											Bir an — hayır, tekrar deneyeceğiz. Ayrılıyor, ve tekrar bir araya geliyor.
											Zaman. Zamana nasıl bakabilirsiniz?
											Belli bir şeyi araştırırken, zamana ne atfedersiniz?
											açıkça, bunun içinde birşey var,
											ve bunun üzerine bir tahminde bulunabilirsiniz.
											Bir gizem var. Anın içinde bir gizem var.
											önce yerleşmesi gerek. Sonra başka birşeye bağlı olur.
											ve sonra dinlenir. Zaman üzerine sadece bir küçük şey.
									","
											Ein Moment - nein, wir versuchen das noch einmal, es trennt sich und kommt wieder zusammen.
											Zeit. Wie können Sie Zeit betrachten?
											Und wofür reservieren Sie sie, wenn Sie etwas Bestimmtes erforschen?
											Na ja, offentischtlich ist da irgendwas drin,
											und Sie können alle raten, was es ist.
											Es gibt ein Geheimnis. Es gibt ein Geheimnis im Moment.
											Und es muss zur Ruhe kommen. Und dann ist es von etwas Anderem abhängig.
											Puff - und dann kommt es zur Ruhe. Nur eine kleine Nummer über die Zeit.
									","
											Un momento... no, lo haré otra vez. Se separa y se vuelve a unir.
											El tiempo. ¿Cómo observar el tiempo?
											Y ¿a qué lo dedican cuando analizan una cosa particular?
											Bien, obviamente hay algo aquí dentro
											y todos pueden adivinar de que se trata.
											Hay un misterio. Hay un misterio en el momento.
											Y debe acomodarse. Y luego depende de alguna otra cosa.
											Y después descansa. Sólo una cosita sobre el tiempo.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Et puis, c’est devenu un numéro beaucoup plus conséquent.
											où j'utilise des rampes avec diverses paraboles sur lesquelles je fais rouler les balles
											tout en gardant trace du temps avec cela.
											Mais je voulais juste parler du moment.
									","
											Now, this has expanded into a much bigger piece,
											because I use ramps of different parabolas that I roll the balls on
											while I'm keeping time with this.
											But I just thought I'd talk about a moment.
									","
											Şimdi, bu daha büyük bir numaraya dönüşür,
											çünkü bununla zamanı tutarken,
											topları yuvarladığım değişik parabollerde rampalar kullanıyorum.
											Ancak zaman hakkında konuşmuş olduğumu düşündüm.
									","
											Also, dies hat sich in eine viel grössere Nummer erweitert,
											da ich Rampen mit verschiedenen Krümmungen benütze, um die Bälle darauf rollen zu lassen,
											während ich die Zeit damit messe.
											Aber ich dachte, ich könnte darüber kurz reden.
									","
											Ahora, esto se transforma en un número mucho más grande
											donde uso rampas de distintas parábolas en las que hago rodar las pelotas
											mientras controlo el tiempo con esto.
											Pero pensé que hablaría del momento.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Bien. OK. Est-ce qu'on peut voir la vidéo du triangle ?
											Est-ce qu'on est prêt pour ça ? Oui ?
											C'est le numéro dont je vous ai parlé.
											C'est un numéro beaucoup plus long où j'explore l'espace d'un triangle géométrique.
									","
											All right. OK. Can we show the video of the triangle?
											Are we ready to do that? Yes?
											This is the piece that I told you about.
											It's a much bigger piece that I do exploring the space of a geometric triangle.
									","
											Tamam. Üçgenin videosunu gösterebilir miyiz?
											Bunu yapmaya hazır mıyız? Evet mi?
											Size bahsettiğim numara bu.
											Geometrik bir üçgenin alanını araştırdığım çok daha büyük bir numara bu.
									","
											Also gut. OK, Können wir das Video mit den Dreiecken zeigen?
											Sind wir bereit, das zu tun? Ja?
											Davon habe ich Ihnen erzählt.
											Es ist eine viel grössere Nummer die ich mache, um den Raum eines Dreiecks zu untersuchen.
									","
											Bien. ¿Podemos mostrar el video del triángulo?
											¿Estamos listos? ¿Sí?
											Este es el número del que les hablé.
											Es un número mucho más grande donde exploro el espacio del triángulo geométrico.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Merci. La seule chose que j'ai à dire au sujet du dernier segment, c'est
											vous avez déjà essayé de jongler en conduisant votre voiture avec les genoux
											à 200 kilomètres à l'heure ?
									","
											Thanks. The only thing I'll say about the last session is,
											you ever try juggling and driving the car with your knees
											at 120 miles an hour?
									","
											Teşekkürler. Biraz önceki bölümle ilgili söyleyeceğim tek şey,
											hiç bir yandan jonglörlük yaparken, dizleriniz üzerinde
											saatte 190 km hızla araba kullandınız mı?
									","
											Danke. Das Einzige, was ich über diese letzte Session sagen will ist,
											haben Sie jemals versucht, zu jonglieren und mit Ihren Knien
											mit 120 kmh Auto zu fahren?
									","
											Gracias. Lo único que diré sobre la última parte es:
											¿han intentando hacer malabares conduciendo un auto con las rodillas
											a 190 kms por hora?
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											La seule autre chose qui a été un véritable choc,
											J'ai toujours conduit des motos. Et quand j'ai acheté ma première voiture, ce qui m'a choqué
											c'est qu'elle coûtait trois fois plus cher que la maison de mes parents. Intéressant.
									","
											The only other thing is, it was a real shock.
											I always drove motorcycles. And when I bought my first car, it shocked me
											that it cost three times more than my parents' house. Interesting.
									","
											diğer şey de, gerçek bir şoktu.
											Her zaman motorsiklet kullandım. İlk arabamı aldığımda,
											anne-babamın evinden üç kez daha pahalı olması beni şok etti. İlginç.
									","
											Das einzig andere Ding, das ein echter Schock war,
											Ich fuhr immer Motorrad. Und als ich mein erstes Auto kaufte, schockierte es mich,
											dass es drei mal mehr kostete, als das Haus meiner Eltern. Interessant.
									","
											La otra cosa que fue un verdadero golpe:
											siempre manejé motos y cuando compré mi primer auto me sorprendió constatar
											que costaba tres veces más que la casa de mis padres. Interesante.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Quoi qu'il en soit, l'équilibre —
											mouvement constant pour s'approcher de l'immobilité.
											Tricherie.
									","
											Anyway, balance:
											constant movement to find an approach to stillness.
											Cheating.
									","
											her neyse. Denge:
											durgunluğa ulaşmak için daimi hareket.
											Hile yapıyorum.
									","
											Jedenfalls, Balance -
											eine konstante Bewegung, um die Annäherung an die Stille zu finden.
											(Schummeln)
									","
											En cualquier caso, equilibrio...
											movimiento constante. Encontrar un enfoque de la quietud.
											Hacer trampas.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											L'équilibre - inventer les règles pour qu'on ne puisse pas tricher,
											donc vous apprenez à vous rapprocher de l'immobilité avec différentes parties de votre corps.
											À avoir une conversation avec elle. À parler. À écouter.
									","
											Balance: making up the rules so you can't cheat,
											so you learn to approach stillness with different parts of your body.
											To have a conversation with it. To speak. To listen.
									","
											Denge: hile yapamamanız için kuralları koymanızdır,
											vücudunuz değişik kısımları ile durgunluğa erişmeyi öğrenirsiniz.
											Onunla iletişim kurmak için. Konuşmak için. Dinlemek için.
									","
											Balance - Regeln aufstellen, so dass Sie nicht mehr schummeln können.
											so dass Sie lernen, sich der Ruhe mit verschiedenen Körperteilen zu nähern.
											Ein Zwiegespräch zu haben. Zu sprechen, zu hören.
									","
											Equilibrio. Inventarse las reglas para no poder infringirlas,
											así, uno aprende a enfocar la quietud con distintas partes del cuerpo.
											Conversar con el cuerpo. Hablarle. Escucharlo.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Hop. Mais l'équilibre dépend du rythme
											et de votre capacité à garder un centre d'équilibre lorsqu'il tombe, à vous placer au-dessous.
											Donc il y a un rythme associé.
											Le rythme peut s'accélérer
											à mesure que votre technique s’améliore, vous apprenez à trouver ces espaces plus minuscules,
											ces mouvements plus minuscules. Merci.
									","
											Hup. Now, it's dependent on rhythm,
											and keeping a center of balance. When it falls, going underneath.
											So, there's a rhythm to it.
											The rhythm can get much smaller.
											As your skill increases, you learn to find those tinier spaces,
											those tinier movements. Thanks.
									","
											Hayır. Şimdi, ritme bağımlı,
											ve bir denge merkezi bulmak. Düştüğünde, altına girmek.
											yani, bunun bir ritmi var.
											Ritim küçülebilir.
											Yeteneğiniz geliştikçe, bu minik alanları bulmayı öğrenirsiniz,
											bu minik hareketleri. Teşekkürler.
									","
											Hopp. Jetzt ist es abhängig vom Rhythmus
											und die Balance zu halten und, wenn es fällt, darunter zu gehen.
											So ist auch hier ein Rhythmus darin.
											Der Rhythmus kann viel kleiner werden.
											Und Ihr Können verbessert sich, wenn Sie lernen, diese kleinere Räume zu finden,
											diese kleineren Bewegungen. Danke.
									","
											Depende del ritmo
											y de mantener el centro de equilibrio cuando está cayendo de abajo.
											Entonces, hay un ritmo.
											El ritmo puede hacerse más pequeño.
											A medida que las habilidades crecen uno aprende a encontrar esos espacios pequeños
											esos movimientos menores. Gracias.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Maintenant, je vais vous montrer le début d'un numéro
											qui a à voir avec l'équilibre d'une certain façon, et aussi —
											Ah, en fait, si vous vous ennuyez — pas ici — en voici un usage possible.
									","
											Now, I'm going to show you the beginnings of a piece
											that is about balance in some ways, and also —
											oh, actually, if you're bored, not here, here's one use for it.
									","
											Şimdi size bir numaranın başlarını göstereceğim.
											bir bakıma denge ile ilgili, ve bir de —
											oh, aslında, sıkıldıysanız, burada değil, bunun bir kullanımı işte.
									","
											Jetzt zeige ich Ihnen die Anfänge einer Nummer
											die auf eine Art von Balance handelt und also -
											oh übrigens, wenn Sie sich langweilen, nicht damit, da haben Sie eine Verwendung dafür.
									","
											Ahora les voy a mostrar el principio de un número
											que es de equilibrio en cierto modo, y también...
											y si están aburridos, no aquí, pero este es un uso posible.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Rires)
									","
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Vous pouvez lancer la première musique pour les bâtons.
									","
											You can go with the ""Sticks One"" music.
									","
											""Çubuklar bir"" müziğini başlatabilirsiniz.
									","
											Sie können mit den Stücken zu einer Musik gehen.
									","
											Pueden poner la música ""bastones uno"".
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Musique)
									","
											(Music)
									","
											(Müzik)
									","
											(Musik)
									","
											(Música)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkışlar)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Merci. Il y a un certain type d'équilibre avec ça qui est purement une question d'aplomb.
											J'ai effectué un apprentissage chez un menuisier, et j'ai tout appris sur l'aplomb, les équerres et les niveaux.
											Et cela a influencé ce numéro ainsi que le numéro suivant, dont je vais faire un bref extrait.
											Deuxième musique pour les bâtons, vous pouvez y aller. Merci.
											A nouveau, on explore l'espace, ou les lignes dans l'espace.
									","
											Thanks. That has a certain kind of balance to it, which is all about plumb.
											I apprenticed with a carpenter and learned about plumb, square and level.
											And they influenced that, and this next piece, which I'll do a little segment of.
											""Two Sticks,"" you can go with it. Thanks.
											Which is again exploring space, or the lines in space.
									","
											Teşekkürler. Bunun kendine göre bir dengesi var, tamamen şakülle ilgili.
											Bir duvarcının çırağı olmuştum ve şakülü orda öğrendim, gönye ve tesviye aleti.
											Onlardan esinlenerek, bir küçük bölüm sunacağım bir sonraki numarayı geliştirdim.
											""Çubuklar iki""yi başlatabilirsiniz. Teşekkürler.
											Tekrar alanı keşfetmekle ilgili, veya alan içindeki çizgiler.
									","
											Danke. Das hat eine Art Balance, da geht es um die Senkrechte.
											Ich machte meine Lehre bei einem Schreiner und lernte über senkrecht, rechtwinklich und waagrecht.
											Und die beeinflussten diese und die nächste Nummer, von denen ich nur ein kleines Segment mache.
											Zwei Stöcke, damit können Sie loslegen. Danke.
											Wieder geht es um die Erkundung des Raumes, oder den Geraden im Raum.
									","
											Gracias. Tiene cierto tipo de equilibrio. Es todo una cuestión de peso.
											Aprendí con un carpintero, a usar la plomada, la escuadra y el nivel.
											Esos elementos influyeron este número y el siguiente, del que les mostraré un segmento.
											""Bastones dos"", pueden ponerla. Gracias.
											Esto explora también el espacio y las líneas en el espacio.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Musique)
									","
											(Music)
									","
											(Müzik)
									","
											(Musik)
									","
											(Música)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkışlar)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Travailler avec l'espace et les lignes dans l'espace de façon différente.
											Ah, voyons voir.
									","
											Working with space and the lines in space in a different way.
											Oh, let's see here.
									","
											Alanla çalışmak ve alan içinde çizgilerle çalışmak, bir başka şekilde.
											Oh, bakın buraya.
									","
											Mit Raum und Geraden im Raum auf andere Weise arbeiten.
											Oh, lassen Sie mich hier sehen.
									","
											Trabajo con el espacio y las líneas en el espacio de manera diferente.
											Veamos un poco.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applaus)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc, je vais y revenir dans un instant. Mais en travaillant avec une balle,
											que se passe-t-il si on y ajoute quelque chose, ou qu'on la modifie?
											C'est une petite chose que j'ai créée
											car j'aime beaucoup l'idée de mettre ensemble des courbes et des balles.
											Et ensuite, en créant de l'espace, et du rythme dans l'espace
											en utilisant la surface des balles, la surface des bras.
											Juste un petit jouet. Ce qui m'amène à la chose suivante,
											qui est —
											qu'avons-nous ici ? OK. Bien.
									","
											So, I'll come back to that in a second. But working with one ball,
											now, what if you attach something to it, or change it.
											This is a little thing that I made
											because I really like the idea of curves and balls together.
											And then creating space and the rhythm of space,
											using the surface of the balls, the surface of the arms.
											Just a little toy. Which leads me to the next thing,
											which is —
											what have I got here? OK. All right.
									","
											Buna birazdan geri döneceğim. Ancak, bir tek topla çalışmak,
											buna bir şey eklerseniz ne olur, veya değiştirseniz.
											Bu yaptığım küçük birşey
											çünkü bir arada eğriler ve toplar fikrini seviyorum.
											sonra alan ve alanın ritmini yaratmak,
											topların yüzeyini, kolların yüzeyini kullanmak.
											sadece ufak bir oyuncak. Beni bir sonraki şeye götürüyor,
											ki bu da —
											burada neyim var? Tamam.
									","
											So, ich komme darauf in einer Sekunde zurück. Aber mit einem Ball arbeitend,
											jetzt, wenn Sie daran etwas befestigen, oder es verändern.
											Das ist ein kleines Ding das ich machte
											weil ich die Idee von Kurven und Bällen zusammen mochte.
											Und dann Raum und den Rhythmus im Raum schaffte
											die Oberfläche der Bälle benützend und die Oberfläche der Arme.
											Nur ein kleines Spielzeug. Das mich zum nächsten Ding führt.
											das ist -
											was steht da? OK. Also gut.
									","
											Volveré en un segundo, pero trabajando con una sola pelota
											¿qué sucede si agrego algo? ¿y si lo quito?
											Esta es una cosita que hice yo
											porque me gusta la idea de las curvas y las pelotas juntas.
											Y después crear espacio y ritmo en el espacio
											usando la superficie de las pelotas, la superficie de los brazos.
											Es sólo un jueguito que me lleva a lo próximo
											que es...
											¿qué hay aquí? Bien. Correcto.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
